train tokens: 227,150,260  val tokens: 110,062
  step  6000 | loss 4.5616 | lr 3.00e-04
checkpoint saved: out/run2b_gpt2small_135M/ckpt_6000.npz
  step  6025 | loss 4.5049 | lr 2.99e-04
  step  6050 | loss 4.8154 | lr 2.97e-04
  step  6075 | loss 4.3568 | lr 2.95e-04
  step  6100 | loss 4.4747 | lr 2.93e-04
  step  6125 | loss 4.4414 | lr 2.91e-04
  step  6150 | loss 4.3298 | lr 2.89e-04
  step  6175 | loss 4.2569 | lr 2.87e-04
step  6200 | train_loss 4.3764 | val_loss 4.3806 | val_ppl 79.89 | lr 2.85e-04 | tok/s 1474
  step  6200 | loss 4.5041 | lr 2.85e-04
  step  6225 | loss 4.2874 | lr 2.83e-04
  step  6250 | loss 4.4295 | lr 2.81e-04
  step  6275 | loss 4.2532 | lr 2.79e-04
  step  6300 | loss 4.1675 | lr 2.77e-04
  step  6325 | loss 4.4724 | lr 2.75e-04
  step  6350 | loss 4.4333 | lr 2.73e-04
  step  6375 | loss 4.4997 | lr 2.71e-04
step  6400 | train_loss 4.3735 | val_loss 4.3151 | val_ppl 74.82 | lr 2.69e-04 | tok/s 1476
  step  6400 | loss 4.4530 | lr 2.69e-04
  step  6425 | loss 4.4299 | lr 2.67e-04
  step  6450 | loss 4.1628 | lr 2.66e-04
  step  6475 | loss 4.4521 | lr 2.64e-04
  step  6500 | loss 4.4170 | lr 2.62e-04
  step  6525 | loss 4.4335 | lr 2.60e-04
  step  6550 | loss 4.3989 | lr 2.58e-04
  step  6575 | loss 4.1110 | lr 2.56e-04
step  6600 | train_loss 4.3586 | val_loss 4.3149 | val_ppl 74.80 | lr 2.54e-04 | tok/s 1474
  step  6600 | loss 4.5205 | lr 2.54e-04
  step  6625 | loss 4.1910 | lr 2.52e-04
  step  6650 | loss 4.3968 | lr 2.50e-04
  step  6675 | loss 4.6267 | lr 2.48e-04
  step  6700 | loss 4.3945 | lr 2.47e-04
  step  6725 | loss 4.5108 | lr 2.45e-04
  step  6750 | loss 4.5849 | lr 2.43e-04
  step  6775 | loss 4.4205 | lr 2.41e-04
step  6800 | train_loss 4.2391 | val_loss 4.3061 | val_ppl 74.15 | lr 2.39e-04 | tok/s 1475
  step  6800 | loss 4.3877 | lr 2.39e-04
  step  6825 | loss 4.4065 | lr 2.37e-04
  step  6850 | loss 4.3500 | lr 2.35e-04
  step  6875 | loss 4.1592 | lr 2.34e-04
  step  6900 | loss 4.2046 | lr 2.32e-04
  step  6925 | loss 4.3163 | lr 2.30e-04
  step  6950 | loss 4.1669 | lr 2.28e-04
  step  6975 | loss 4.2862 | lr 2.26e-04
step  7000 | train_loss 4.3375 | val_loss 4.3177 | val_ppl 75.02 | lr 2.24e-04 | tok/s 1475
  step  7000 | loss 4.2286 | lr 2.24e-04
  step  7025 | loss 4.1642 | lr 2.23e-04
  step  7050 | loss 4.1125 | lr 2.21e-04
  step  7075 | loss 4.3386 | lr 2.19e-04
  step  7100 | loss 4.3416 | lr 2.17e-04
  step  7125 | loss 4.1950 | lr 2.15e-04
  step  7150 | loss 4.4085 | lr 2.14e-04
  step  7175 | loss 4.3199 | lr 2.12e-04
step  7200 | train_loss 4.3000 | val_loss 4.2838 | val_ppl 72.52 | lr 2.10e-04 | tok/s 1475
  step  7200 | loss 4.1623 | lr 2.10e-04
  step  7225 | loss 4.1982 | lr 2.08e-04
  step  7250 | loss 4.4219 | lr 2.07e-04
  step  7275 | loss 4.1437 | lr 2.05e-04
  step  7300 | loss 4.3888 | lr 2.03e-04
  step  7325 | loss 4.2749 | lr 2.01e-04
  step  7350 | loss 4.6422 | lr 2.00e-04
  step  7375 | loss 4.2458 | lr 1.98e-04
step  7400 | train_loss 4.2958 | val_loss 4.2877 | val_ppl 72.80 | lr 1.96e-04 | tok/s 1477
  step  7400 | loss 4.5483 | lr 1.96e-04
  step  7425 | loss 4.3000 | lr 1.94e-04
  step  7450 | loss 4.4452 | lr 1.93e-04
  step  7475 | loss 3.9932 | lr 1.91e-04
  step  7500 | loss 4.2494 | lr 1.89e-04
  step  7525 | loss 4.2175 | lr 1.88e-04
  step  7550 | loss 4.3182 | lr 1.86e-04
  step  7575 | loss 4.5061 | lr 1.84e-04
step  7600 | train_loss 4.2914 | val_loss 4.2647 | val_ppl 71.15 | lr 1.83e-04 | tok/s 1478
  step  7600 | loss 4.3483 | lr 1.83e-04
  step  7625 | loss 4.3142 | lr 1.81e-04
  step  7650 | loss 4.2386 | lr 1.79e-04
  step  7675 | loss 4.0906 | lr 1.78e-04
  step  7700 | loss 4.2493 | lr 1.76e-04
  step  7725 | loss 4.2225 | lr 1.75e-04
  step  7750 | loss 4.2634 | lr 1.73e-04
  step  7775 | loss 4.1864 | lr 1.71e-04
step  7800 | train_loss 4.2496 | val_loss 4.1978 | val_ppl 66.54 | lr 1.70e-04 | tok/s 1474
  step  7800 | loss 4.1094 | lr 1.70e-04
  step  7825 | loss 4.3807 | lr 1.68e-04
  step  7850 | loss 4.1654 | lr 1.67e-04
  step  7875 | loss 4.0314 | lr 1.65e-04
  step  7900 | loss 3.9996 | lr 1.63e-04
  step  7925 | loss 4.0968 | lr 1.62e-04
  step  7950 | loss 4.2544 | lr 1.60e-04
  step  7975 | loss 4.2982 | lr 1.59e-04
step  8000 | train_loss 4.2862 | val_loss 4.1930 | val_ppl 66.22 | lr 1.57e-04 | tok/s 1475
  step  8000 | loss 3.9960 | lr 1.57e-04
checkpoint saved: out/run2b_gpt2small_135M/ckpt_8000.npz
  step  8025 | loss 4.2382 | lr 1.56e-04
  step  8050 | loss 4.2194 | lr 1.54e-04
  step  8075 | loss 4.2906 | lr 1.53e-04
  step  8100 | loss 4.2064 | lr 1.51e-04
  step  8125 | loss 4.1234 | lr 1.50e-04
  step  8150 | loss 4.2043 | lr 1.48e-04
  step  8175 | loss 4.1984 | lr 1.47e-04
step  8200 | train_loss 4.2204 | val_loss 4.2021 | val_ppl 66.82 | lr 1.45e-04 | tok/s 1473
  step  8200 | loss 4.3156 | lr 1.45e-04
  step  8225 | loss 4.2036 | lr 1.44e-04
  step  8250 | loss 4.3346 | lr 1.43e-04
  step  8275 | loss 4.2157 | lr 1.41e-04
  step  8300 | loss 4.4673 | lr 1.40e-04
  step  8325 | loss 4.3479 | lr 1.38e-04
  step  8350 | loss 4.0661 | lr 1.37e-04
  step  8375 | loss 4.3734 | lr 1.36e-04
step  8400 | train_loss 4.2087 | val_loss 4.2509 | val_ppl 70.17 | lr 1.34e-04 | tok/s 1474
  step  8400 | loss 4.1274 | lr 1.34e-04
  step  8425 | loss 4.3155 | lr 1.33e-04
  step  8450 | loss 4.3106 | lr 1.32e-04
  step  8475 | loss 4.0022 | lr 1.30e-04
  step  8500 | loss 4.2900 | lr 1.29e-04
  step  8525 | loss 4.3016 | lr 1.28e-04
  step  8550 | loss 4.3070 | lr 1.26e-04
  step  8575 | loss 4.1041 | lr 1.25e-04
step  8600 | train_loss 4.2117 | val_loss 4.2102 | val_ppl 67.37 | lr 1.24e-04 | tok/s 1474
  step  8600 | loss 4.2455 | lr 1.24e-04
  step  8625 | loss 4.1193 | lr 1.22e-04
  step  8650 | loss 4.1920 | lr 1.21e-04
  step  8675 | loss 4.3167 | lr 1.20e-04
  step  8700 | loss 4.1461 | lr 1.19e-04
  step  8725 | loss 4.0014 | lr 1.18e-04
  step  8750 | loss 4.2441 | lr 1.16e-04
  step  8775 | loss 4.1762 | lr 1.15e-04
step  8800 | train_loss 4.1674 | val_loss 4.1758 | val_ppl 65.09 | lr 1.14e-04 | tok/s 1475
  step  8800 | loss 4.3128 | lr 1.14e-04
  step  8825 | loss 4.1981 | lr 1.13e-04
  step  8850 | loss 4.3106 | lr 1.12e-04
  step  8875 | loss 4.0666 | lr 1.10e-04
  step  8900 | loss 4.1854 | lr 1.09e-04
  step  8925 | loss 4.3741 | lr 1.08e-04
  step  8950 | loss 4.0504 | lr 1.07e-04
  step  8975 | loss 4.3400 | lr 1.06e-04
step  9000 | train_loss 4.1417 | val_loss 4.2089 | val_ppl 67.28 | lr 1.05e-04 | tok/s 1474
  step  9000 | loss 4.1618 | lr 1.05e-04
  step  9025 | loss 4.1059 | lr 1.04e-04
  step  9050 | loss 4.0241 | lr 1.03e-04
  step  9075 | loss 4.1933 | lr 1.02e-04
  step  9100 | loss 4.2090 | lr 1.01e-04
  step  9125 | loss 4.1591 | lr 9.95e-05
  step  9150 | loss 4.1279 | lr 9.85e-05
  step  9175 | loss 4.2889 | lr 9.75e-05
step  9200 | train_loss 4.1773 | val_loss 4.1551 | val_ppl 63.76 | lr 9.65e-05 | tok/s 1475
  step  9200 | loss 4.3797 | lr 9.65e-05
  step  9225 | loss 4.1479 | lr 9.55e-05
  step  9250 | loss 4.3546 | lr 9.45e-05
  step  9275 | loss 4.4485 | lr 9.36e-05
