train tokens: 227,150,260  val tokens: 110,062
step 10000 | train_loss 4.6070 | val_loss 4.5879 | val_ppl 98.29 | lr 4.52e-04 | tok/s 17007
  step 10000 | loss 4.6692 | lr 4.52e-04
checkpoint saved: /home/sanyam-0605/Desktop/sanyam_projects/rumik assignment/out/ckpt_10000.npz
  step 10050 | loss 4.5663 | lr 4.51e-04
  step 10100 | loss 4.5805 | lr 4.50e-04
  step 10150 | loss 4.5790 | lr 4.48e-04
  step 10200 | loss 4.5162 | lr 4.47e-04
  step 10250 | loss 4.5352 | lr 4.46e-04
  step 10300 | loss 4.7531 | lr 4.44e-04
  step 10350 | loss 4.5270 | lr 4.43e-04
  step 10400 | loss 4.5603 | lr 4.41e-04
  step 10450 | loss 4.3972 | lr 4.40e-04
step 10500 | train_loss 4.5870 | val_loss 4.5508 | val_ppl 94.71 | lr 4.39e-04 | tok/s 16982
  step 10500 | loss 4.6345 | lr 4.39e-04
  step 10550 | loss 4.5348 | lr 4.37e-04
  step 10600 | loss 4.5682 | lr 4.36e-04
  step 10650 | loss 4.4667 | lr 4.34e-04
  step 10700 | loss 4.4274 | lr 4.33e-04
  step 10750 | loss 4.5940 | lr 4.32e-04
  step 10800 | loss 4.7762 | lr 4.30e-04
  step 10850 | loss 4.3957 | lr 4.29e-04
  step 10900 | loss 4.5420 | lr 4.27e-04
  step 10950 | loss 4.6296 | lr 4.26e-04
step 11000 | train_loss 4.5886 | val_loss 4.5305 | val_ppl 92.80 | lr 4.24e-04 | tok/s 17006
  step 11000 | loss 4.7418 | lr 4.24e-04
  step 11050 | loss 4.6907 | lr 4.23e-04
  step 11100 | loss 4.5446 | lr 4.22e-04
  step 11150 | loss 4.3885 | lr 4.20e-04
  step 11200 | loss 4.7103 | lr 4.19e-04
  step 11250 | loss 4.6492 | lr 4.17e-04
  step 11300 | loss 4.5687 | lr 4.16e-04
  step 11350 | loss 4.6641 | lr 4.14e-04
  step 11400 | loss 4.5101 | lr 4.13e-04
  step 11450 | loss 4.5824 | lr 4.11e-04
